--pass-name,INPUT_DATA_WIDTH,INPUT_BUS_WIDTH,CONFIG_BUS_WIDTH,OUTPUT_DATA_WIDTH,OUTPUT_BUS_WIDTH,TOTAL_LAYERS,fMax,LUT (Used),LUT (Total),LUTAsLogic (Used),LUTAsLogic (Total),LUTAsMem (Used),LUTAsMem (Total),REG (Used),REG (Total),CARRY8 (Used),CARRY8 (Total),F7MUX (Used),F7MUX (Total),F8MUX (Used),F8MUX (Total),F9MUX (Used),F9MUX (Total),BRAM (Used),BRAM (Total),URAM (Used),URAM (Total),DSP (Used),DSP (Total),GLOBAL_CLOCK_BUFFERS (Used),GLOBAL_CLOCK_BUFFERS (Total),PLL (Used),PLL (Total),MMCM (Used),MMCM (Total),GTYE4_CHANNEL (Used),GTYE4_CHANNEL (Total),GTYE4_COMMON (Used),GTYE4_COMMON (Total),SLL_SLR2-SLR3 (Used),SLL_SLR2-SLR3 (Total),SLL_SLR3-SLR2 (Used),SLL_SLR3-SLR2 (Total),SLL_SLR1-SLR2 (Used),SLL_SLR1-SLR2 (Total),SLL_SLR2-SLR1 (Used),SLL_SLR2-SLR1 (Total),SLL_SLR0-SLR1 (Used),SLL_SLR0-SLR1 (Total),SLL_SLR1-SLR0 (Used),SLL_SLR1-SLR0 (Total),LUT_SLR0 (Used),LUT_SLR0 (Total),LUT_SLR1 (Used),LUT_SLR1 (Total),LUT_SLR2 (Used),LUT_SLR2 (Total),LUT_SLR3 (Used),LUT_SLR3 (Total),LUTAsLogic_SLR0 (Used),LUTAsLogic_SLR0 (Total),LUTAsLogic_SLR1 (Used),LUTAsLogic_SLR1 (Total),LUTAsLogic_SLR2 (Used),LUTAsLogic_SLR2 (Total),LUTAsLogic_SLR3 (Used),LUTAsLogic_SLR3 (Total),LUTAsMem_SLR0 (Used),LUTAsMem_SLR0 (Total),LUTAsMem_SLR1 (Used),LUTAsMem_SLR1 (Total),LUTAsMem_SLR2 (Used),LUTAsMem_SLR2 (Total),LUTAsMem_SLR3 (Used),LUTAsMem_SLR3 (Total),REG_SLR0 (Used),REG_SLR0 (Total),REG_SLR1 (Used),REG_SLR1 (Total),REG_SLR2 (Used),REG_SLR2 (Total),REG_SLR3 (Used),REG_SLR3 (Total),CARRY8_SLR0 (Used),CARRY8_SLR0 (Total),CARRY8_SLR1 (Used),CARRY8_SLR1 (Total),CARRY8_SLR2 (Used),CARRY8_SLR2 (Total),CARRY8_SLR3 (Used),CARRY8_SLR3 (Total),F7MUX_SLR0 (Used),F7MUX_SLR0 (Total),F7MUX_SLR1 (Used),F7MUX_SLR1 (Total),F7MUX_SLR2 (Used),F7MUX_SLR2 (Total),F7MUX_SLR3 (Used),F7MUX_SLR3 (Total),F8MUX_SLR0 (Used),F8MUX_SLR0 (Total),F8MUX_SLR1 (Used),F8MUX_SLR1 (Total),F8MUX_SLR2 (Used),F8MUX_SLR2 (Total),F8MUX_SLR3 (Used),F8MUX_SLR3 (Total),F9MUX_SLR0 (Used),F9MUX_SLR0 (Total),F9MUX_SLR1 (Used),F9MUX_SLR1 (Total),F9MUX_SLR2 (Used),F9MUX_SLR2 (Total),F9MUX_SLR3 (Used),F9MUX_SLR3 (Total),BRAM_SLR0 (Used),BRAM_SLR0 (Total),BRAM_SLR1 (Used),BRAM_SLR1 (Total),BRAM_SLR2 (Used),BRAM_SLR2 (Total),BRAM_SLR3 (Used),BRAM_SLR3 (Total),URAM_SLR0 (Used),URAM_SLR0 (Total),URAM_SLR1 (Used),URAM_SLR1 (Total),URAM_SLR2 (Used),URAM_SLR2 (Total),URAM_SLR3 (Used),URAM_SLR3 (Total),DSPs_SLR0 (Used),DSPs_SLR0 (Total),DSPs_SLR1 (Used),DSPs_SLR1 (Total),DSPs_SLR2 (Used),DSPs_SLR2 (Total),DSPs_SLR3 (Used),DSPs_SLR3 (Total)
best,8,64,64,4,8,4,417.7109440267335,9149,1728000,6361,1728000,2788,791040,8146,3456000,102,216000,1040,864000,0,432000,0,216000,16,2688,14,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,9149,432000,0,432000,0,432000,0,432000,6361,432000,0,432000,0,432000,0,432000,2788,197760,0,197760,0,197760,0,197760,8146,864000,0,864000,0,864000,0,864000,102,54000,0,54000,0,54000,0,54000,1040,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,16,672,0,672,0,672,0,672,14,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
merge,8,64,64,4,8,4,417.7109440267335,9149,1728000,6361,1728000,2788,791040,8146,3456000,102,216000,1040,864000,0,432000,0,216000,16,2688,14,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,9149,432000,0,432000,0,432000,0,432000,6361,432000,0,432000,0,432000,0,432000,2788,197760,0,197760,0,197760,0,197760,8146,864000,0,864000,0,864000,0,864000,102,54000,0,54000,0,54000,0,54000,1040,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,16,672,0,672,0,672,0,672,14,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
parser_refactor,8,64,64,4,8,4,391.08330074305826,9080,1728000,6292,1728000,2788,791040,8237,3456000,102,216000,1040,864000,0,432000,0,216000,16,2688,14,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,9080,432000,0,432000,0,432000,0,432000,6292,432000,0,432000,0,432000,0,432000,2788,197760,0,197760,0,197760,0,197760,8237,864000,0,864000,0,864000,0,864000,102,54000,0,54000,0,54000,0,54000,1040,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,16,672,0,672,0,672,0,672,14,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
revert-to-best,8,64,64,4,8,4,417.7109440267335,9149,1728000,6361,1728000,2788,791040,8146,3456000,102,216000,1040,864000,0,432000,0,216000,16,2688,14,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,9149,432000,0,432000,0,432000,0,432000,6361,432000,0,432000,0,432000,0,432000,2788,197760,0,197760,0,197760,0,197760,8146,864000,0,864000,0,864000,0,864000,102,54000,0,54000,0,54000,0,54000,1040,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,16,672,0,672,0,672,0,672,14,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
config_fixed_beats,8,64,64,4,8,4,354.3586109142452,8848,1728000,6060,1728000,2788,791040,8093,3456000,92,216000,1040,864000,0,432000,0,216000,16,2688,14,1280,1,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,8848,432000,0,432000,0,432000,0,432000,6060,432000,0,432000,0,432000,0,432000,2788,197760,0,197760,0,197760,0,197760,8093,864000,0,864000,0,864000,0,864000,92,54000,0,54000,0,54000,0,54000,1040,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,16,672,0,672,0,672,0,672,14,320,0,320,0,320,0,320,1,3072,0,3072,0,3072,0,3072
header_total_beats,8,64,64,4,8,4,416.3197335553705,9076,1728000,6288,1728000,2788,791040,8101,3456000,96,216000,1040,864000,0,432000,0,216000,16,2688,14,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,9076,432000,0,432000,0,432000,0,432000,6288,432000,0,432000,0,432000,0,432000,2788,197760,0,197760,0,197760,0,197760,8101,864000,0,864000,0,864000,0,864000,96,54000,0,54000,0,54000,0,54000,1040,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,16,672,0,672,0,672,0,672,14,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
np_local_input_regs,8,64,64,4,8,4,385.0596842510589,9166,1728000,6378,1728000,2788,791040,10106,3456000,102,216000,1040,864000,0,432000,0,216000,16,2688,14,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,9166,432000,0,432000,0,432000,0,432000,6378,432000,0,432000,0,432000,0,432000,2788,197760,0,197760,0,197760,0,197760,10106,864000,0,864000,0,864000,0,864000,102,54000,0,54000,0,54000,0,54000,1040,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,16,672,0,672,0,672,0,672,14,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
advance_batch_state,8,64,64,4,8,4,402.73862263391055,9195,1728000,6407,1728000,2788,791040,8221,3456000,102,216000,1040,864000,0,432000,0,216000,16,2688,14,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,9195,432000,0,432000,0,432000,0,432000,6407,432000,0,432000,0,432000,0,432000,2788,197760,0,197760,0,197760,0,197760,8221,864000,0,864000,0,864000,0,864000,102,54000,0,54000,0,54000,0,54000,1040,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,16,672,0,672,0,672,0,672,14,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
config_payload_last_addr,8,64,64,4,8,4,389.4080996884735,9117,1728000,6329,1728000,2788,791040,8110,3456000,102,216000,1040,864000,0,432000,0,216000,16,2688,14,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,9117,432000,0,432000,0,432000,0,432000,6329,432000,0,432000,0,432000,0,432000,2788,197760,0,197760,0,197760,0,197760,8110,864000,0,864000,0,864000,0,864000,102,54000,0,54000,0,54000,0,54000,1040,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,16,672,0,672,0,672,0,672,14,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
threshold_read_pipe,8,64,64,4,8,4,408.83074407195426,8967,1728000,6179,1728000,2788,791040,8194,3456000,101,216000,1042,864000,0,432000,0,216000,16,2688,14,1280,0,12288,0,1344,0,32,0,16,0,24,0,6,0,23040,0,23040,0,23040,0,23040,0,23040,0,23040,8967,432000,0,432000,0,432000,0,432000,6179,432000,0,432000,0,432000,0,432000,2788,197760,0,197760,0,197760,0,197760,8194,864000,0,864000,0,864000,0,864000,101,54000,0,54000,0,54000,0,54000,1042,216000,0,216000,0,216000,0,216000,0,108000,0,108000,0,108000,0,108000,0,54000,0,54000,0,54000,0,54000,16,672,0,672,0,672,0,672,14,320,0,320,0,320,0,320,0,3072,0,3072,0,3072,0,3072
